"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 07 21:03:56 GMT+03:00 2022","Mon Feb 07 21:04:01 GMT+03:00 2022","5065","","test.TestBuyTour","","test.TestBuyTour","shouldNotificationAboutAnEmptyMonthFieldWillAppear3","shouldNotificationAboutAnEmptyMonthFieldWillAppear3()",""
"passed","Mon Feb 07 21:04:06 GMT+03:00 2022","Mon Feb 07 21:04:07 GMT+03:00 2022","995","","test.TestBuyTour","","test.TestBuyTour","ShouldAppearInTheDatabaseWithStatus","ShouldAppearInTheDatabaseWithStatus()",""
"passed","Mon Feb 07 21:03:54 GMT+03:00 2022","Mon Feb 07 21:03:55 GMT+03:00 2022","974","","test.TestBuyTour","","test.TestBuyTour","shouldNotificationAboutAnEmptyMonthFieldWillAppear1","shouldNotificationAboutAnEmptyMonthFieldWillAppear1()",""
"passed","Mon Feb 07 21:03:40 GMT+03:00 2022","Mon Feb 07 21:03:50 GMT+03:00 2022","10629","","test.TestBuyTour","","test.TestBuyTour","ShouldAppearInTheDatabaseCreditWithStatusApproved","ShouldAppearInTheDatabaseCreditWithStatusApproved()",""
"passed","Mon Feb 07 21:03:51 GMT+03:00 2022","Mon Feb 07 21:03:52 GMT+03:00 2022","906","","test.TestBuyTour","","test.TestBuyTour","shouldNotificationWillAppearEmptyCardNumberField","shouldNotificationWillAppearEmptyCardNumberField()",""
"passed","Mon Feb 07 21:04:07 GMT+03:00 2022","Mon Feb 07 21:04:08 GMT+03:00 2022","936","","test.TestBuyTour","","test.TestBuyTour","shouldNotificationAboutAnEmptyMonthFieldWillAppear","shouldNotificationAboutAnEmptyMonthFieldWillAppear()",""
"failed","Mon Feb 07 21:03:21 GMT+03:00 2022","Mon Feb 07 21:03:26 GMT+03:00 2022","5073","","test.TestBuyTour","","test.TestBuyTour","shouldNotificationAboutAnEmptyCVCFieldWillAppear","shouldNotificationAboutAnEmptyCVCFieldWillAppear()",""
"passed","Mon Feb 07 21:03:39 GMT+03:00 2022","Mon Feb 07 21:03:40 GMT+03:00 2022","938","","test.TestBuyTour","","test.TestBuyTour","shouldNotificationWillAppearInvalidFormat1","shouldNotificationWillAppearInvalidFormat1()",""
"passed","Mon Feb 07 21:03:26 GMT+03:00 2022","Mon Feb 07 21:03:27 GMT+03:00 2022","934","","test.TestBuyTour","","test.TestBuyTour","shouldNotificationAboutAnEmptyYearFieldWillAppear","shouldNotificationAboutAnEmptyYearFieldWillAppear()",""
"passed","Mon Feb 07 21:03:52 GMT+03:00 2022","Mon Feb 07 21:03:53 GMT+03:00 2022","959","","test.TestBuyTour","","test.TestBuyTour","shouldNotificationAboutAnEmptyCVCFieldWillAppear1","shouldNotificationAboutAnEmptyCVCFieldWillAppear1()",""
"passed","Mon Feb 07 21:03:53 GMT+03:00 2022","Mon Feb 07 21:03:54 GMT+03:00 2022","949","","test.TestBuyTour","","test.TestBuyTour","shouldNotificationAboutAnEmptyHolderFieldWillAppear","shouldNotificationAboutAnEmptyHolderFieldWillAppear()",""
"passed","Mon Feb 07 21:03:50 GMT+03:00 2022","Mon Feb 07 21:03:51 GMT+03:00 2022","959","","test.TestBuyTour","","test.TestBuyTour","shouldNotificationWillAppearInvalidFormat","shouldNotificationWillAppearInvalidFormat()",""
"passed","Mon Feb 07 21:03:55 GMT+03:00 2022","Mon Feb 07 21:03:56 GMT+03:00 2022","999","","test.TestBuyTour","","test.TestBuyTour","shouldNotificationAboutAnEmptyMonthFieldWillAppear2","shouldNotificationAboutAnEmptyMonthFieldWillAppear2()",""
"passed","Mon Feb 07 21:03:00 GMT+03:00 2022","Mon Feb 07 21:03:01 GMT+03:00 2022","991","","test.TestBuyTour","","test.TestBuyTour","shouldNotificationAboutAnEmptyYearFieldWillAppear2","shouldNotificationAboutAnEmptyYearFieldWillAppear2()",""
"failed","Mon Feb 07 21:03:02 GMT+03:00 2022","Mon Feb 07 21:03:13 GMT+03:00 2022","10990","","test.TestBuyTour","","test.TestBuyTour","ShouldAppearInTheDatabaseWithStatusDeclined","ShouldAppearInTheDatabaseWithStatusDeclined()",""
"failed","Mon Feb 07 21:04:01 GMT+03:00 2022","Mon Feb 07 21:04:06 GMT+03:00 2022","5024","","test.TestBuyTour","","test.TestBuyTour","shouldNotificationAboutAnEmptyHolderFieldWillAppear1","shouldNotificationAboutAnEmptyHolderFieldWillAppear1()",""
"failed","Mon Feb 07 21:03:27 GMT+03:00 2022","Mon Feb 07 21:03:39 GMT+03:00 2022","11187","","test.TestBuyTour","","test.TestBuyTour","ShouldAppearInTheDatabaseCreditWithStatusDeclined","ShouldAppearInTheDatabaseCreditWithStatusDeclined()",""
"passed","Mon Feb 07 21:03:01 GMT+03:00 2022","Mon Feb 07 21:03:02 GMT+03:00 2022","982","","test.TestBuyTour","","test.TestBuyTour","shouldNotificationAboutAnEmptyYearFieldWillAppear3","shouldNotificationAboutAnEmptyYearFieldWillAppear3()",""
"passed","Mon Feb 07 21:03:13 GMT+03:00 2022","Mon Feb 07 21:03:21 GMT+03:00 2022","8040","","test.TestBuyTour","","test.TestBuyTour","ShouldAppearInTheDatabaseWithStatusApproved","ShouldAppearInTheDatabaseWithStatusApproved()",""
"passed","Mon Feb 07 21:02:57 GMT+03:00 2022","Mon Feb 07 21:03:00 GMT+03:00 2022","3521","","test.TestBuyTour","","test.TestBuyTour","shouldNotificationAboutAnEmptyYearFieldWillAppear1","shouldNotificationAboutAnEmptyYearFieldWillAppear1()",""
